node	x	y	z
1500250350	0.0	0.0	0.0
1500251350	0.0	150.0	0.0
1500249350	0.0	-150.0	0.0
1500252350	0.0	300.0	0.0
1500248350	0.0	-300.0	0.0
1501250350	2700.0	0.0	0.0
1501251350	2700.0	150.0	0.0
1501249350	2700.0	-150.0	0.0
1501252350	2700.0	300.0	0.0
1501248350	2700.0	-300.0	0.0
1502250350	5400.0	0.0	0.0
1502251350	5400.0	150.0	0.0
1502249350	5400.0	-150.0	0.0
1502252350	5400.0	300.0	0.0
1502248350	5400.0	-300.0	0.0
1503250350	8100.0	0.0	0.0
1503251350	8100.0	150.0	0.0
1503249350	8100.0	-150.0	0.0
1503252350	8100.0	300.0	0.0
1503248350	8100.0	-300.0	0.0
1504250350	10800.0	0.0	0.0
1504251350	10800.0	150.0	0.0
1504249350	10800.0	-150.0	0.0
1504252350	10800.0	300.0	0.0
1504248350	10800.0	-300.0	0.0
